# peacockdb cost-model calibration record (#153). One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# timing_mode, build_profile and allocator each change what the microseconds MEAN. Rows
#   disagreeing on any of them are not comparable — hence columns, not a run heading.
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
peacockdb	tpcds	1	q11	full_table-tp1-standard	59	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	90	4093	90	4093	4093	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	58	GpuHashJoinExec	cuda_hash_join_bytes	1	0	12911	596497	90	4093	4093	2	1853	1852	1855	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	45	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	1659	188607	1659	188607	188607	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	44	GpuHashJoinExec	cuda_hash_join_bytes	1	0	26019	1827461	1659	188607	188607	2	1213	1212	1215	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	28	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	14467	1408697	14467	1408697	1408697	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	27	GpuHashJoinExec	cuda_hash_join_bytes	1	0	76098	3708162	14467	1408697	1408697	1	771	770	772	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	14	GpuProjectExec	cuda_project_bytes	1	0	37923	1374714	37923	1374714	1374714	0	61	61	61	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	13	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	37923	1374714	37923	1374714	1374714	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	12	GpuFilterExec	cuda_filter_bytes	1	0	37923	1374714	37923	1374714	1374714	0	175	175	175	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	11	GpuProjectExec	cuda_project_bytes	1	0	37923	4417382	37923	1374714	1374714	1	68	67	69	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	10	GpuAggregateExec	cuda_aggregate_bytes	1	0	533427	70762585	37923	4417382	4417382	3	11073	11072	11076	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	9	GpuProjectExec	cuda_project_bytes	1	0	533427	70762585	533427	70762585	70762585	1	440	446	441	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	8	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	533427	70762585	533427	70762585	70762585	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	7	GpuHashJoinExec	cuda_hash_join_bytes	1	0	2751377	364884466	533427	70762585	70762585	1	2295	2294	2296	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	2	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	365	5932	365	5932	5932	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	1	GpuFilterExec	cuda_filter_bytes	1	0	73049	1187048	365	5932	5932	9	118	117	127	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	0	GpuScanExec	storage_read_bytes	1	0	0	0	73049	1187048	1187048	3	17286	17281	17289	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	6	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	2751012	364878534	2751012	364878534	364878534	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	5	GpuHashJoinExec	cuda_hash_join_bytes	1	0	2980404	149740312	2751012	364878534	364878534	3	4373	4409	4376	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	3	GpuScanExec	storage_read_bytes	1	0	0	0	100000	10040716	10040716	2	114867	114866	114869	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	4	GpuScanExec	storage_read_bytes	1	0	0	0	2880404	139699596	139699596	2	20834	20833	20836	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	26	GpuProjectExec	cuda_project_bytes	1	0	38175	4447815	38175	2333448	2333448	1	217	216	218	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	25	GpuAggregateExec	cuda_aggregate_bytes	1	0	536691	71173974	38175	4447815	4447815	3	10683	10682	10686	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	24	GpuProjectExec	cuda_project_bytes	1	0	536691	71173974	536691	71173974	71173974	1	449	453	450	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	23	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	536691	71173974	536691	71173974	71173974	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	22	GpuHashJoinExec	cuda_hash_join_bytes	1	0	2751377	364884466	536691	71173974	71173974	1	2287	2286	2288	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	17	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	365	5932	365	5932	5932	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	16	GpuFilterExec	cuda_filter_bytes	1	0	73049	1187048	365	5932	5932	9	117	115	126	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	15	GpuScanExec	storage_read_bytes	1	0	0	0	73049	1187048	1187048	2	17074	17073	17076	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	21	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	2751012	364878534	2751012	364878534	364878534	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	20	GpuHashJoinExec	cuda_hash_join_bytes	1	0	2980404	149740312	2751012	364878534	364878534	3	4387	4424	4390	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	18	GpuScanExec	storage_read_bytes	1	0	0	0	100000	10040716	10040716	2	117240	117239	117242	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	19	GpuScanExec	storage_read_bytes	1	0	0	0	2880404	139699596	139699596	2	20747	20746	20749	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	43	GpuProjectExec	cuda_project_bytes	1	0	11552	418764	11552	418764	418764	0	62	61	62	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	42	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	11552	418764	11552	418764	418764	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	41	GpuFilterExec	cuda_filter_bytes	1	0	11552	418764	11552	418764	418764	0	172	171	172	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	40	GpuProjectExec	cuda_project_bytes	1	0	11552	1346175	11552	418764	418764	1	68	67	69	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	39	GpuAggregateExec	cuda_aggregate_bytes	1	0	147010	19509506	11552	1346175	1346175	3	9987	9986	9990	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	38	GpuProjectExec	cuda_project_bytes	1	0	147010	19509506	147010	19509506	19509506	1	399	398	400	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	37	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	147010	19509506	147010	19509506	19509506	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	36	GpuHashJoinExec	cuda_hash_join_bytes	1	0	719579	95434389	147010	19509506	19509506	1	1662	1661	1663	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	31	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	365	5932	365	5932	5932	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	30	GpuFilterExec	cuda_filter_bytes	1	0	73049	1187048	365	5932	5932	8	116	115	124	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
